Name,Comment,Time,Likes,Reply Count
kromer,haven't seen this genre in a while,2022-07-08T03:53:54Z,1057,16
alftooka,Nice pfp,2022-07-10T01:47:31Z,0,
Redemption Comeback,@TaxEvader22  *takes smoke* haven't heard that name in years,2022-07-09T05:24:56Z,1,
MrNoNameYT,Yep,2022-07-08T15:04:27Z,0,
jesse Perry,I still have the popularMMOs book.,2022-07-08T13:29:31Z,2,
SunshinePro,@TaxEvader22 those guys are nostalgic,2022-07-08T12:22:21Z,3,
limay eng,@Trigger genre means like theme,2022-07-08T06:05:51Z,1,
limay eng,A bit outdated,2022-07-08T06:04:56Z,1,
quandaledingle,@TaxEvader22 yup,2022-07-08T05:50:43Z,2,
E- tan,@TaxEvader22 ... that's a name I haven't heard in...years I think...,2022-07-08T05:29:56Z,27,
Destructive Fur,@TaxEvader22 I haven’t heard that name in so long.,2022-07-08T04:54:05Z,25,
Trigger,Genre?,2022-07-08T04:36:51Z,4,
Mike Robledo,Sum one all ready sed that,2022-07-08T03:58:23Z,2,
Melon Musk,Tiki https://youtu.be/DRySgd9uEN8,2022-07-08T03:55:53Z,2,
TaxEvader22,since PopularMMOS I think,2022-07-08T03:54:42Z,141,
Cherrie Sinclair,First,2022-07-08T03:53:54Z,1,0
TheRangaKing,based,2022-07-08T03:53:51Z,0,0
Akira Hartono,Wohooo so early,2022-07-08T03:53:51Z,0,0
Dagoat2999,I like when y’all play Minecraft it’s funny seeing y’all make the game fun,2022-07-08T03:53:49Z,1217,19
Trk,"IIo
Ki
I",2022-07-10T19:33:06Z,0,
Trk,"O
I
k",2022-07-10T19:33:00Z,0,
YT user,"@Ming's Edit:D tiki Tasak 9
https://youtu.be/XxriU2Z4RTw",2022-07-09T22:08:27Z,0,
GBF freeloader,Fellow southerner I see,2022-07-09T04:37:46Z,0,
Ming's Edit:D,Yall Yall Yall xd,2022-07-09T02:52:01Z,0,
Ethan Garrison,"although yes, they do make it fun but the game itself is fun too.",2022-07-08T18:41:26Z,2,
